Seeded RNG: 3560323407
Running IMIS. InitSamples: 50000000, StepSamples: 100000, FinalResamples 100000, MaxIter 3000
Step Var(w_i)  MargLik    Unique Max(w_i)     ESS     Time
   0 32196088.12    23.78   156.48     0.80     1.55 12141.00
   1 2664016.70    24.72   456.38     0.14    18.81    34.00
   2 2687705.38    26.34  2121.63     0.17    18.68    32.00
   3 1122374.21    27.26  5039.24     0.09    44.82    36.00
   4 371368.04    27.85  7060.16     0.03   135.71    31.00
   5 345886.33    28.33  8375.03     0.04   146.00    32.00
   6 150954.95    28.57  9962.97     0.02   335.20    30.00
   7 98645.62    28.77 11598.06     0.01   513.96    32.00
   8 336530.91    28.92 12745.62     0.07   150.95    31.00
   9 120467.93    29.14 14155.00     0.02   422.52    34.00
  10 93092.09    29.26 15116.84     0.02   547.84    31.00
  11 71732.33    29.41 16315.44     0.01   712.36    34.00
  12 61236.01    29.52 16878.35     0.01   836.10    31.00
  13 53195.79    29.56 17885.20     0.01   964.34    31.00
  14 48134.53    29.60 18680.57     0.01  1067.82    30.00
  15 40361.12    29.72 19442.97     0.01  1275.95    32.00
  16 32321.59    29.75 20466.21     0.00  1596.41    30.00
  17 32009.59    29.83 21217.52     0.01  1615.09    32.00
  18 27042.43    29.88 22125.22     0.01  1915.44    35.00
  19 22737.52    29.95 22969.15     0.00  2282.47    32.00
  20 21137.20    29.99 23627.22     0.00  2460.00    28.00
  21 19734.64    30.03 24256.94     0.00  2639.89    31.00
  22 18562.71    30.11 24792.62     0.00  2811.94    31.00
  23 17441.16    30.12 25413.12     0.00  2998.48    31.00
  24 15312.84    30.16 26177.31     0.00  3421.74    32.00
  25 15027.39    30.20 26923.25     0.00  3493.39    33.00
  26 17036.07    30.28 27437.09     0.01  3087.38    33.00
  27 14909.08    30.31 27943.26     0.00  3534.52    32.00
  28 87489.81    30.37 27755.22     0.04   603.49    33.00
  29 16769.81    30.37 28661.34     0.01  3154.29    32.00
  30 15843.92    30.38 29126.09     0.00  3344.92    31.00
  31 14719.64    30.39 29468.54     0.00  3607.18    32.00
  32 12762.44    30.43 30052.44     0.00  4168.16    32.00
  33 12075.56    30.45 30609.93     0.00  4413.51    33.00
  34 13049.26    30.50 31014.58     0.01  4091.87    34.00
  35 11524.62    30.52 31577.80     0.00  4641.83    33.00
  36 10556.01    30.53 32059.61     0.00  5077.19    33.00
  37 10252.24    30.54 32491.06     0.00  5237.37    31.00
  38 10292.24    30.57 32959.16     0.00  5226.73    36.00
  39  9769.06    30.58 33358.57     0.00  5516.86    31.00
  40 10312.74    30.62 33594.59     0.00  5235.73    31.00
  41  9206.62    30.64 34212.88     0.00  5875.57    34.00
  42  8791.04    30.66 34712.22     0.00  6164.67    32.00
  43  9307.14    30.69 34891.54     0.00  5833.60    33.00
  44 11142.78    30.71 35176.72     0.01  4881.65    32.00
  45  9383.95    30.74 35467.63     0.00  5807.17    33.00
  46  8567.51    30.77 35863.09     0.00  6372.17    34.00
  47  8242.78    30.78 36336.77     0.00  6635.31    33.00
  48  8441.25    30.81 36527.58     0.00  6491.16    31.00
  49  8005.89    30.82 37010.71     0.00  6856.59    32.00
  50  7546.99    30.83 37530.93     0.00  7286.71    33.00
  51  7347.66    30.86 37916.66     0.00  7497.97    37.00
  52  7262.00    30.87 38298.54     0.00  7600.16    32.00
  53  7035.12    30.87 38706.32     0.00  7859.44    33.00
  54  6824.04    30.88 39089.91     0.00  8117.17    35.00
  55  6573.06    30.90 39504.43     0.00  8442.27    34.00
  56  6415.92    30.92 39740.79     0.00  8664.59    36.00
  57  6908.91    30.92 40002.11     0.00  8060.88    32.00
  58  6384.15    30.94 40525.87     0.00  8739.03    34.00
  59  6070.11    30.94 40864.09     0.00  9207.54    31.00
  60  5963.09    30.96 41234.72     0.00  9389.54    35.00
  61  5787.31    30.97 41574.14     0.00  9691.95    31.00
  62  5686.62    30.97 41849.56     0.00  9881.11    33.00
  63  5671.09    30.98 41970.12     0.00  9925.79    33.00
  64  5562.79    30.99 42209.93     0.00 10136.97    36.00
  65  5483.15    30.99 42490.75     0.00 10302.42    33.00
  66  6284.56    31.02 42439.13     0.00  9004.76    35.00
  67  6525.05    31.03 42560.45     0.00  8688.25    35.00
  68  5712.52    31.04 42752.29     0.00  9941.34    34.00
  69  5480.85    31.05 42824.76     0.00 10379.70    35.00
  70  6343.62    31.06 42782.10     0.00  8983.99    38.00
  71  5383.07    31.07 43030.98     0.00 10605.37    38.00
  72  7108.05    31.11 42844.60     0.01  8046.08    38.00
  73  6043.13    31.12 43178.62     0.00  9480.27    35.00
  74  5524.46    31.13 43445.07     0.00 10388.28    35.00
  75  5350.15    31.13 43720.81     0.00 10745.36    34.00
  76  5217.73    31.14 43937.20     0.00 11037.17    36.00
  77  4952.58    31.15 44185.07     0.00 11648.14    37.00
  78  4742.25    31.16 44438.18     0.00 12185.75    33.00
  79  4745.82    31.18 44561.09     0.00 12197.64    42.00
  80  4534.06    31.19 44856.52     0.00 12789.25    36.00
  81  4484.38    31.19 45070.18     0.00 12953.19    34.00
  82  4343.09    31.20 45303.20     0.00 13397.51    34.00
  83  4289.86    31.21 45440.45     0.00 13587.02    35.00
  84  4314.48    31.22 45597.62     0.00 13532.68    36.00
  85  4728.51    31.24 45579.70     0.00 12369.14    37.00
  86  4499.86    31.25 45629.23     0.00 13019.73    35.00
  87  4450.50    31.26 45813.62     0.00 13186.56    35.00
  88  4331.37    31.28 45997.08     0.00 13572.25    38.00
  89  4210.92    31.28 46084.24     0.00 13984.11    36.00
  90  4400.41    31.30 46247.61     0.00 13404.81    37.00
  91  4306.33    31.30 46385.55     0.00 13720.80    36.00
  92  4088.55    31.31 46596.05     0.00 14475.93    38.00
  93  4088.24    31.32 46795.86     0.00 14501.46    36.00
  94  4259.03    31.33 46981.14     0.00 13943.55    34.00
  95  3870.24    31.34 47224.64     0.00 15369.77    35.00
  96  3870.07    31.34 47366.04     0.00 15396.24    36.00
  97  3847.06    31.35 47432.64     0.00 15514.33    38.00
  98  3810.17    31.36 47594.50     0.00 15690.71    36.00
  99  3793.92    31.36 47708.28     0.00 15784.24    35.00
 100  3711.82    31.37 47865.38     0.00 16160.24    35.00
 101  3703.99    31.37 48000.48     0.00 16221.37    35.00
 102  3655.19    31.38 48137.87     0.00 16465.23    34.00
 103  3619.13    31.38 48379.94     0.00 16656.86    35.00
 104  3579.97    31.38 48530.42     0.00 16866.95    34.00
 105  3610.21    31.39 48641.00     0.00 16753.41    36.00
 106  3459.55    31.39 48992.65     0.00 17511.65    37.00
 107  3557.41    31.39 49249.13     0.00 17058.20    35.00
 108  3400.07    31.40 49480.12     0.00 17876.71    36.00
 109  3356.55    31.40 49687.74     0.00 18138.23    36.00
 110  3422.81    31.41 49813.68     0.00 17816.41    35.00
 111  3429.41    31.42 49974.11     0.00 17811.30    35.00
 112  3279.84    31.42 50218.81     0.00 18653.78    36.00
 113  3259.65    31.43 50407.09     0.00 18799.91    35.00
 114  3174.96    31.43 50622.48     0.00 19332.76    42.00
 115  3114.87    31.44 50850.20     0.00 19737.68    37.00
 116  3076.29    31.45 51007.11     0.00 20017.61    40.00
 117  3094.08    31.45 51068.53     0.00 19934.84    37.00
 118  3124.16    31.46 51229.65     0.00 19775.00    38.00
 119  3058.35    31.46 51377.77     0.00 20233.07    37.00
 120  3002.70    31.47 51487.12     0.00 20641.18    37.00
 121  2937.18    31.48 51696.82     0.00 21135.52    37.00
 122  2886.26    31.48 51870.69     0.00 21542.92    36.00
 123  3073.98    31.48 52087.90     0.00 20260.30    37.00
 124  2815.23    31.49 52368.86     0.00 22157.31    38.00
 125  2784.65    31.49 52505.28     0.00 22436.40    38.00
 126  2758.11    31.49 52625.34     0.00 22688.51    35.00
 127  2737.30    31.49 52759.63     0.00 22897.39    38.00
 128  2708.88    31.49 52921.21     0.00 23174.48    37.00
 129  2652.89    31.50 53090.66     0.00 23701.05    36.00
 130  2633.50    31.50 53226.80     0.00 23913.46    35.00
 131  2610.38    31.51 53400.67     0.00 24163.44    35.00
 132  2591.75    31.51 53582.65     0.00 24375.70    39.00
 133  2555.60    31.51 53769.20     0.00 24759.40    39.00
 134  2529.51    31.52 53936.24     0.00 25054.25    38.00
 135  2599.91    31.52 53992.20     0.00 24414.55    37.00
 136  2510.60    31.52 54159.05     0.00 25322.48    37.00
 137  2444.22    31.52 54320.26     0.00 26050.85    40.00
 138  2445.83    31.53 54433.38     0.00 26074.54    40.00
 139  2415.33    31.54 54618.25     0.00 26445.11    40.00
 140  2403.01    31.54 54776.60     0.00 26622.22    38.00
 141  2364.68    31.55 54956.12     0.00 27095.77    38.00
 142  2341.23    31.55 55089.65     0.00 27409.78    37.00
 143  2304.61    31.55 55274.17     0.00 27888.51    36.00
 144  2314.56    31.55 55370.90     0.00 27811.83    37.00
 145  2343.53    31.56 55435.71     0.00 27510.83    39.00
 146  2277.91    31.56 55598.67     0.00 28346.87    39.00
 147  2959.27    31.56 55574.76     0.00 21856.10    38.00
 148  2342.15    31.57 55726.46     0.00 27655.09    40.00
 149  2266.01    31.57 55879.98     0.00 28628.07    42.00
 150  2302.96    31.57 55969.04     0.00 28212.31    42.00
 151  2304.79    31.58 55992.94     0.00 28233.27    38.00
 152  2225.24    31.58 56120.72     0.00 29287.05    40.00
 153  2239.92    31.58 56186.37     0.00 29139.87    39.00
 154  2264.70    31.59 56223.64     0.00 28865.27    39.00
 155  2202.50    31.59 56357.65     0.00 29725.49    39.00
 156  2192.72    31.59 56528.82     0.00 29903.58    42.00
 157  2172.80    31.60 56647.01     0.00 30223.58    40.00
 158  2162.44    31.60 56775.76     0.00 30414.47    39.00
 159  2149.59    31.60 56869.98     0.00 30642.75    40.00
 160  2120.42    31.61 56988.75     0.00 31111.30    37.00
 161  2125.15    31.61 57090.27     0.00 31089.09    42.00
 162  2091.70    31.61 57240.12     0.00 31633.82    39.00
 163  2077.22    31.61 57353.55     0.00 31902.27    42.00
 164  2060.21    31.62 57471.08     0.00 32214.14    39.00
 165  2059.04    31.62 57567.39     0.00 32280.91    40.00
 166  2023.57    31.62 57721.60     0.00 32895.81    38.00
 167  1993.40    31.63 57910.18     0.00 33443.72    37.00
 168  1982.21    31.63 58088.09     0.00 33682.69    39.00
 169  1976.06    31.63 58179.70     0.00 33838.14    38.00
 170  1951.65    31.63 58305.33     0.00 34312.32    37.00
 171  1942.89    31.64 58385.51     0.00 34518.34    43.00
 172  1935.83    31.64 58486.72     0.00 34695.93    39.00
 173  1938.51    31.64 58579.66     0.00 34699.40    39.00
 174  1965.42    31.64 58643.06     0.00 34275.41    39.00
 175  1899.90    31.65 58784.38     0.00 35509.52    40.00
 176  1886.80    31.65 58885.31     0.00 35808.88    40.00
 177  1915.68    31.65 58968.14     0.00 35321.54    40.00
 178  1875.81    31.65 59074.70     0.00 36125.12    38.00
 179  1882.13    31.65 59187.73     0.00 36057.04    39.00
 180  1859.47    31.66 59330.33     0.00 36549.89    41.00
 181  1836.10    31.66 59488.51     0.00 37069.28    40.00
 182  1824.20    31.66 59613.65     0.00 37365.84    42.00
 183  1804.19    31.66 59783.79     0.00 37835.44    40.00
 184  1811.72    31.67 59877.28     0.00 37733.43    40.00
 185  1779.91    31.67 59987.90     0.00 38463.52    40.00
 186  1772.50    31.67 60045.39     0.00 38680.52    39.00
 187  1761.38    31.67 60145.21     0.00 38981.49    38.00
 188  1792.17    31.67 60204.60     0.00 38367.84    40.00
 189  1776.27    31.67 60261.40     0.00 38767.21    41.00
 190  1758.43    31.68 60344.45     0.00 39217.33    42.00
 191  1767.25    31.68 60381.09     0.00 39078.14    40.00
 192  1753.24    31.68 60456.08     0.00 39447.34    40.00
 193  1747.35    31.68 60528.79     0.00 39637.38    40.00
 194  1743.39    31.68 60585.81     0.00 39784.70    43.00
 195  1750.59    31.68 60601.53     0.00 39678.26    39.00
 196  1764.71    31.68 60609.36     0.00 39417.67    40.00
 197  1741.12    31.68 60683.18     0.00 40008.78    40.00
 198  1733.82    31.68 60760.42     0.00 40234.77    39.00
 199  1730.49    31.68 60811.01     0.00 40369.85    40.00
 200  1725.33    31.68 60877.43     0.00 40548.45    42.00
 201  1738.45    31.69 60925.68     0.00 40300.19    42.00
