Seeded RNG: 2356471001
Running IMIS. InitSamples: 50000000, StepSamples: 100000, FinalResamples 100000, MaxIter 3000
Step Var(w_i)  MargLik    Unique Max(w_i)     ESS     Time
 104 23513.68    29.28 36831.55     0.02  2568.61    38.00
 105 10060.25    29.28 37240.93     0.00  6013.17    38.00
 106  9673.98    29.28 37396.79     0.00  6263.58    35.00
 107  9588.15    29.29 37585.28     0.00  6330.07    36.00
 108  9358.97    29.29 37749.55     0.00  6495.75    36.00
 109  9238.55    29.30 37976.82     0.00  6591.23    38.00
 110  9186.48    29.32 38164.04     0.00  6639.47    39.00
 111  8969.34    29.32 38402.36     0.00  6811.34    36.00
 112  8827.25    29.33 38514.33     0.00  6932.29    35.00
 113  8707.93    29.34 38591.49     0.00  7038.75    41.00
 114  8572.77    29.34 38752.74     0.00  7161.37    36.00
 115  8619.01    29.35 38905.71     0.00  7134.56    36.00
 116 13107.30    29.37 38743.23     0.01  4699.31    38.00
 117  8624.56    29.37 39125.85     0.00  7153.16    37.00
 118  8327.63    29.37 39315.96     0.00  7420.19    37.00
 119  8227.89    29.37 39502.63     0.00  7522.28    37.00
 120  8118.83    29.39 39602.54     0.00  7635.63    39.00
 121  8319.98    29.40 39565.36     0.00  7463.06    39.00
 122  8007.38    29.41 39642.28     0.00  7766.86    38.00
 123  7774.11    29.42 39911.67     0.00  8012.75    38.00
 124  7676.85    29.42 40077.75     0.00  8127.28    36.00
 125  8075.11    29.43 40267.40     0.00  7738.88    36.00
 126  7506.99    29.43 40492.69     0.00  8337.78    35.00
 127  7358.30    29.43 40681.12     0.00  8519.83    37.00
 128  7251.48    29.43 40872.73     0.00  8659.11    36.00
 129  7769.49    29.45 40875.95     0.00  8094.72    42.00
 130  7518.67    29.46 41019.05     0.00  8378.02    40.00
 131  7042.05    29.46 41407.97     0.00  8959.18    38.00
 132  7197.44    29.46 41550.02     0.00  8779.68    38.00
 133  7117.06    29.48 41640.32     0.00  8892.87    37.00
 134  6985.73    29.48 41740.34     0.00  9074.34    36.00
 135  6845.39    29.48 41867.56     0.00  9274.95    36.00
 136  6871.96    29.49 42082.64     0.00  9253.66    38.00
 137  6736.18    29.50 42246.20     0.00  9454.99    37.00
 138  6503.98    29.50 42463.90     0.00  9807.88    36.00
 139  6409.89    29.51 42613.88     0.00  9967.42    40.00
 140  6548.54    29.52 42605.03     0.00  9771.68    39.00
 141  6375.05    29.52 42808.84     0.00 10053.25    42.00
 142  8705.25    29.53 42790.83     0.01  7374.01    38.00
 143  6269.35    29.53 43083.53     0.00 10254.61    39.00
 144  6112.72    29.53 43281.53     0.00 10533.69    40.00
 145  6046.84    29.53 43387.16     0.00 10664.97    39.00
 146  6052.82    29.55 43554.78     0.00 10670.96    40.00
 147  6375.05    29.55 43628.87     0.00 10147.34    38.00
 148  5892.02    29.56 43844.33     0.00 10996.06    39.00
 149  5810.79    29.56 43988.62     0.00 11166.95    38.00
 150  5744.13    29.57 44125.09     0.00 11313.93    37.00
 151  5805.33    29.57 44160.59     0.00 11211.91    43.00
 152  6756.40    29.58 44005.82     0.00  9648.69    42.00
 153  5903.37    29.59 44099.68     0.00 11059.60    46.00
 154  5872.73    29.59 44219.88     0.00 11134.32    44.00
 155  6095.82    29.62 44013.79     0.00 10743.31    42.00
 156  8024.82    29.63 44092.28     0.01  8173.62    42.00
 157  5811.16    29.64 44343.58     0.00 11303.88    41.00
 158  5759.17    29.65 44378.25     0.00 11423.27    39.00
 159  6033.15    29.65 44492.30     0.00 10921.17    39.00
 160  6392.25    29.66 44526.20     0.00 10323.38    40.00
 161  5708.70    29.67 44593.11     0.00 11576.79    42.00
 162  6125.04    29.68 44543.90     0.00 10806.33    39.00
 163  5750.30    29.69 44667.28     0.00 11527.83    41.00
 164  6109.65    29.70 44624.13     0.00 10866.28    41.00
 165  6370.44    29.72 44586.66     0.00 10437.19    45.00
 166  5925.96    29.72 44775.40     0.00 11236.79    40.00
 167  5593.07    29.72 44991.58     0.00 11923.34    42.00
 168  5525.45    29.72 45127.22     0.00 12087.32    38.00
 169  5435.43    29.73 45232.24     0.00 12305.88    40.00
 170  5384.33    29.73 45371.30     0.00 12441.21    43.00
 171  5937.03    29.74 45316.71     0.00 11300.05    45.00
 172  5430.98    29.75 45385.86     0.00 12371.18    47.00
 173  5836.72    29.75 45374.57     0.00 11528.47    46.00
 174  5485.45    29.76 45497.45     0.00 12284.82    42.00
 175  5424.49    29.76 45583.57     0.00 12441.27    42.00
 176  5312.26    29.76 45720.77     0.00 12722.88    41.00
 177  5252.55    29.77 45821.48     0.00 12886.53    39.00
 178  5236.25    29.77 45954.92     0.00 12945.72    42.00
 179  5470.10    29.78 45992.91     0.00 12410.68    42.00
 180  5371.05    29.79 46083.19     0.00 12658.11    39.00
 181  5240.26    29.79 46157.80     0.00 12993.06    42.00
 182  5110.88    29.79 46287.78     0.00 13341.46    43.00
 183  5230.61    29.80 46344.44     0.00 13055.24    41.00
 184  5038.24    29.80 46470.23     0.00 13573.47    39.00
 185  5075.86    29.80 46517.46     0.00 13492.59    40.00
 186  4986.73    29.80 46619.01     0.00 13753.74    39.00
 187  4955.16    29.81 46714.53     0.00 13861.54    42.00
 188  4993.90    29.82 46747.47     0.00 13774.06    41.00
 189  4892.95    29.82 46886.29     0.00 14078.62    41.00
 190  4927.74    29.82 46913.47     0.00 13999.53    43.00
 191  4950.90    29.83 47002.72     0.00 13954.23    45.00
 192  4827.43    29.83 47063.30     0.00 14331.78    42.00
 193  4785.84    29.83 47164.80     0.00 14477.18    42.00
 194  4733.22    29.83 47255.76     0.00 14659.23    42.00
 195  6112.76    29.84 47207.05     0.00 11367.80    43.00
 196  5176.96    29.85 47325.33     0.00 13441.60    43.00
 197  4851.70    29.85 47477.59     0.00 14363.14    41.00
 198  4776.93    29.86 47599.38     0.00 14608.85    44.00
 199  4860.81    29.87 47653.08     0.00 14377.35    43.00
 200  4845.35    29.87 47718.89     0.00 14443.87    42.00
 201  4701.32    29.87 47814.08     0.00 14907.53    42.00
 202  4571.09    29.88 47985.22     0.00 15354.01    45.00
 203  4537.94    29.88 48212.03     0.00 15488.20    43.00
 204  4803.46    29.89 48291.50     0.00 14653.05    42.00
 205  4485.43    29.89 48482.31     0.00 15714.07    41.00
 206  4605.76    29.90 48550.70     0.00 15325.31    44.00
 207  4442.43    29.90 48677.17     0.00 15911.14    46.00
 208  4383.79    29.90 48842.68     0.00 16146.74    42.00
 209  4315.73    29.90 48972.80     0.00 16424.45    43.00
 210  4284.87    29.91 49050.32     0.00 16566.08    41.00
 211  4290.69    29.91 49130.28     0.00 16566.91    44.00
 212  4244.63    29.91 49228.22     0.00 16770.18    42.00
 213  4468.36    29.92 49227.33     0.00 15953.07    40.00
 214  4449.83    29.93 49367.72     0.00 16041.95    44.00
 215  4353.83    29.94 49458.93     0.00 16418.55    44.00
 216  4648.99    29.95 49406.54     0.00 15397.87    44.00
 217  4725.50    29.96 49446.23     0.00 15169.78    43.00
 218  4605.92    29.97 49571.62     0.00 15585.26    44.00
 219  4747.02    29.98 49648.83     0.00 15143.14    44.00
 220  4550.97    29.98 49767.88     0.00 15817.34    44.00
 221  4324.70    29.98 49862.25     0.00 16667.81    44.00
 222  4222.40    29.98 50005.67     0.00 17095.22    42.00
 223  4147.61    29.99 50134.20     0.00 17427.53    44.00
 224  4086.62    29.99 50257.74     0.00 17712.02    47.00
 225  4051.02    30.00 50360.83     0.00 17892.33    44.00
 226  4053.22    30.00 50413.29     0.00 17907.27    42.00
 227  4004.68    30.00 50539.38     0.00 18149.25    43.00
 228  3952.57    30.00 50676.20     0.00 18413.73    42.00
 229  3912.77    30.00 50787.43     0.00 18626.55    45.00
 230  3851.32    30.00 50924.74     0.00 18949.61    47.00
 231  3887.42    30.01 50958.10     0.00 18799.40    44.00
 232  9937.40    30.02 50738.94     0.01  7365.37    43.00
 233  3962.90    30.01 51072.47     0.00 18491.89    44.00
 234  3917.01    30.01 51118.20     0.00 18733.98    42.00
 235  3863.61    30.02 51198.97     0.00 19018.72    45.00
 236  3915.27    30.02 51261.04     0.00 18793.37    46.00
 237  3810.16    30.02 51371.07     0.00 19337.96    44.00
 238  3873.02    30.03 51420.20     0.00 19049.99    47.00
 239  4016.56    30.03 51494.05     0.00 18394.23    47.00
 240  3819.32    30.04 51625.97     0.00 19370.08    45.00
 241  3756.84    30.04 51753.34     0.00 19718.80    42.00
 242  3701.35    30.04 51863.11     0.00 20041.33    45.00
 243  3655.04    30.04 52040.18     0.00 20322.55    49.00
 244  3587.29    30.05 52223.15     0.00 20734.11    45.00
 245  3568.34    30.05 52301.95     0.00 20872.20    45.00
 246  3542.32    30.05 52373.16     0.00 21053.72    52.00
 247  3524.60    30.05 52468.86     0.00 21187.89    44.00
 248  3494.79    30.05 52566.46     0.00 21397.18    45.00
 249  3472.83    30.06 52659.60     0.00 21561.24    44.00
 250  3445.12    30.06 52738.12     0.00 21763.62    44.00
 251  3426.34    30.06 52832.55     0.00 21912.02    46.00
 252  3400.90    30.06 52954.44     0.00 22105.32    42.00
 253  3548.68    30.06 52937.90     0.00 21213.18    44.00
 254  3393.79    30.06 53065.93     0.00 22210.51    44.00
 255  3363.26    30.07 53187.38     0.00 22441.76    45.00
 256  3344.16    30.07 53260.23     0.00 22599.84    45.00
 257  3400.25    30.07 53265.18     0.00 22256.50    45.00
 258  3329.56    30.07 53365.96     0.00 22758.94    41.00
 259  3328.68    30.08 53386.96     0.00 22794.95    45.00
 260  3356.31    30.08 53420.16     0.00 22637.16    47.00
 261  3564.66    30.09 53388.03     0.00 21342.46    54.00
 262  3365.73    30.08 53538.35     0.00 22633.25    47.00
 263  3320.66    30.09 53602.06     0.00 22970.47    48.00
 264  3313.83    30.09 53630.41     0.00 23047.93    47.00
 265  3296.65    30.09 53713.89     0.00 23198.32    47.00
 266  3309.03    30.10 53770.28     0.00 23141.81    47.00
 267  3281.92    30.10 53843.11     0.00 23363.35    47.00
 268  3303.47    30.10 53782.26     0.00 23241.22    48.00
 269  5482.88    30.11 53629.26     0.01 14022.93    48.00
 270  3324.22    30.11 53883.45     0.00 23156.36    47.00
 271  3316.20    30.11 53919.83     0.00 23242.51    48.00
 272  3327.13    30.11 53932.34     0.00 23196.23    46.00
 273  3381.38    30.11 53979.45     0.00 22853.73    46.00
 274  3420.01    30.11 54034.50     0.00 22624.90    44.00
 275  3356.91    30.12 54094.02     0.00 23079.82    47.00
 276  3400.52    30.12 54152.34     0.00 22813.34    45.00
 277  3311.15    30.12 54249.76     0.00 23459.11    46.00
 278  3248.72    30.12 54367.31     0.00 23940.53    47.00
 279  3219.19    30.12 54430.50     0.00 24191.13    47.00
 280  3198.86    30.12 54502.34     0.00 24376.04    50.00
 281  3286.17    30.12 54591.54     0.00 23759.07    50.00
 282  3172.78    30.12 54658.73     0.00 24639.38    50.00
 283  3226.07    30.13 54706.13     0.00 24263.46    53.00
 284  3183.98    30.13 54726.93     0.00 24615.52    47.00
 285  3189.91    30.13 54787.88     0.00 24601.11    48.00
 286  3165.59    30.13 54887.45     0.00 24821.65    47.00
 287  3182.31    30.13 54934.86     0.00 24722.72    46.00
 288  3133.33    30.14 55038.12     0.00 25140.93    48.00
 289  3116.29    30.14 55109.76     0.00 25310.47    55.00
 290  3116.51    30.14 55149.72     0.00 25340.70    47.00
 291  3096.24    30.14 55242.61     0.00 25538.85    46.00
 292  3082.64    30.14 55296.14     0.00 25683.95    49.00
 293  3068.18    30.14 55364.63     0.00 25837.50    47.00
 294  3042.19    30.14 55495.60     0.00 26091.03    43.00
 295  3050.62    30.14 55518.58     0.00 26051.77    47.00
 296  3054.86    30.15 55597.40     0.00 26048.30    48.00
 297  3076.85    30.15 55702.35     0.00 25894.67    48.00
 298  3076.74    30.15 55727.69     0.00 25928.13    48.00
 299  3023.74    30.15 55823.31     0.00 26415.50    47.00
 300  2996.82    30.15 55924.25     0.00 26686.08    52.00
 301  2979.62    30.15 56018.24     0.00 26873.57    48.00
 302  2995.24    30.16 56028.30     0.00 26766.88    48.00
 303  3017.74    30.16 56102.49     0.00 26600.50    51.00
 304  2960.15    30.16 56137.32     0.00 27151.65    46.00
 305  2957.59    30.16 56164.13     0.00 27208.95    48.00
 306  2982.24    30.17 56169.61     0.00 27017.58    50.00
 307  2970.62    30.17 56191.78     0.00 27156.87    54.00
 308  2992.59    30.17 56199.74     0.00 26991.03    50.00
 309  3002.01    30.17 56237.62     0.00 26939.60    48.00
 310  2933.55    30.17 56354.71     0.00 27602.16    47.00
 311  2945.62    30.18 56361.56     0.00 27523.09    49.00
 312  2938.64    30.18 56398.61     0.00 27622.47    46.00
 313  2926.20    30.18 56460.21     0.00 27773.95    48.00
 314  2902.15    30.18 56565.72     0.00 28038.54    49.00
 315  2877.44    30.18 56662.52     0.00 28313.97    47.00
 316  2887.70    30.18 56718.66     0.00 28248.05    50.00
 317  2898.47    30.19 56766.46     0.00 28177.56    47.00
 318  2852.07    30.19 56901.93     0.00 28670.91    47.00
 319  2845.23    30.19 56970.83     0.00 28774.91    47.00
 320  2818.15    30.19 57072.35     0.00 29086.82    48.00
 321  2912.49    30.20 57123.38     0.00 28179.27    49.00
 322  2796.09    30.20 57229.19     0.00 29387.63    49.00
 323  2792.69    30.20 57297.87     0.00 29459.23    48.00
 324  2778.35    30.20 57368.22     0.00 29647.21    48.00
 325  2770.48    30.20 57423.36     0.00 29767.52    47.00
 326  2754.59    30.20 57526.84     0.00 29975.39    49.00
 327  2749.40    30.20 57586.98     0.00 30068.41    50.00
 328  2744.59    30.20 57647.52     0.00 30157.44    50.00
 329  2734.70    30.20 57694.49     0.00 30303.08    49.00
 330  2743.16    30.21 57725.70     0.00 30246.05    49.00
 331  2765.47    30.21 57750.60     0.00 30038.32    52.00
 332  2746.25    30.21 57807.59     0.00 30284.84    48.00
 333  2719.62    30.21 57895.00     0.00 30618.04    52.00
 334  2712.20    30.21 57928.26     0.00 30738.66    49.00
 335  2707.33    30.21 57984.69     0.00 30830.85    51.00
 336  2692.45    30.21 58056.58     0.00 31038.28    50.00
 337  2687.13    30.21 58111.46     0.00 31136.92    48.00
 338  2674.31    30.22 58188.26     0.00 31323.45    48.00
 339  2659.55    30.22 58276.80     0.00 31534.83    47.00
 340  2705.28    30.22 58267.93     0.00 31038.89    48.00
 341  2641.31    30.22 58390.95     0.00 31828.22    48.00
 342  2627.72    30.22 58492.17     0.00 32030.76    50.00
 343  2644.49    30.22 58513.69     0.00 31865.58    49.00
 344  2613.43    30.22 58607.17     0.00 32282.34    49.00
 345  2639.94    30.22 58628.04     0.00 31996.22    53.00
 346  2607.78    30.22 58672.58     0.00 32428.94    51.00
 347  2611.50    30.22 58694.54     0.00 32421.04    50.00
 348  2625.30    30.22 58737.03     0.00 32288.79    53.00
 349  2588.50    30.23 58842.97     0.00 32786.31    48.00
 350  2575.82    30.23 58915.39     0.00 32986.40    51.00
 351  2565.99    30.23 59005.07     0.00 33151.62    52.00
 352  2773.01    30.24 59006.00     0.00 30713.64    59.00
 353  2575.58    30.24 59189.75     0.00 33105.88    51.00
 354  2558.60    30.24 59279.46     0.00 33364.59    51.00
 355  2565.07    30.24 59312.64     0.00 33319.41    49.00
 356  2553.57    30.24 59423.85     0.00 33508.59    49.00
 357  2520.00    30.25 59515.25     0.00 33994.45    48.00
 358  2504.88    30.25 59614.00     0.00 34239.51    49.00
 359  2497.62    30.25 59680.37     0.00 34379.03    47.00
 360  2487.22    30.25 59743.77     0.00 34562.89    47.00
 361  2474.04    30.25 59827.58     0.00 34787.29    50.00
 362  2462.50    30.25 59880.18     0.00 34990.88    48.00
 363  2462.10    30.25 59910.78     0.00 35037.13    48.00
 364  2450.26    30.25 59967.73     0.00 35247.16    50.00
 365  2438.49    30.25 60030.60     0.00 35458.21    52.00
 366  2637.35    30.26 60016.04     0.00 32823.52    50.00
 367  2429.49    30.25 60137.93     0.00 35671.84    50.00
 368  2473.08    30.26 60148.75     0.00 35083.73    47.00
 369  2408.45    30.26 60271.61     0.00 36066.33    54.00
 370  2406.83    30.26 60327.21     0.00 36132.18    49.00
 371  2390.15    30.26 60426.33     0.00 36426.04    51.00
 372  2382.80    30.26 60475.13     0.00 36580.30    50.00
 373  2471.06    30.26 60461.70     0.00 35314.69    54.00
 374  2395.22    30.26 60517.47     0.00 36474.15    53.00
 375  2385.37    30.26 60578.86     0.00 36666.54    50.00
 376  2381.94    30.26 60616.02     0.00 36761.29    52.00
 377  2407.74    30.27 60650.34     0.00 36409.14    54.00
 378  2403.30    30.27 60658.36     0.00 36517.91    51.00
 379  2444.35    30.27 60678.95     0.00 35945.80    54.00
 380  2401.48    30.27 60751.64     0.00 36628.74    50.00
