Seeded RNG: 3770004185
Running IMIS. InitSamples: 50000000, StepSamples: 100000, FinalResamples 100000, MaxIter 3000
Step Var(w_i)  MargLik    Unique Max(w_i)     ESS     Time
   0 10850457.78    24.15    89.11     0.38     4.61 10443.00
   1 5705613.68    26.10   466.24     0.31     8.78    32.00
   2 2136337.38    27.55  2759.23     0.14    23.50    33.00
   3 460202.97    28.78  5495.39     0.07   109.30    34.00
   4 267769.87    29.74  8553.49     0.05   188.22    36.00
   5 524632.30    30.21  9274.01     0.05    96.26    32.00
   6 335992.12    30.57 10856.63     0.06   150.60    32.00
   7 122508.39    30.90 13007.63     0.02   413.85    31.00
   8 83299.72    31.11 14297.93     0.02   609.84    31.00
   9 63761.33    31.29 15745.12     0.01   798.28    31.00
  10 57870.04    31.56 16726.18     0.01   881.27    33.00
  11 45714.63    31.60 17898.59     0.01  1117.78    34.00
  12 35799.23    31.71 19329.97     0.01  1430.16    32.00
  13 32068.39    31.86 20554.17     0.01  1599.66    33.00
  14 27200.33    31.97 22005.43     0.00  1889.61    32.00
  15 23563.17    32.03 23100.74     0.00  2185.52    32.00
  16 19807.59    32.11 23880.73     0.00  2604.93    30.00
  17 17468.38    32.17 25066.05     0.00  2959.46    32.00
  18 16272.77    32.24 25906.42     0.00  3183.04    33.00
  19 16885.94    32.29 26933.82     0.01  3073.38    33.00
  20 13005.20    32.35 28094.59     0.00  3998.09    32.00
  21 12346.16    32.37 28857.79     0.00  4219.60    33.00
  22 11614.86    32.38 29623.40     0.00  4493.86    30.00
  23 11007.47    32.41 30347.17     0.00  4750.89    32.00
  24 10930.20    32.45 30988.97     0.00  4793.62    31.00
  25 10009.13    32.47 31946.64     0.00  5244.69    36.00
  26 10836.17    32.50 32434.10     0.01  4853.67    31.00
  27  9112.23    32.54 33151.19     0.00  5782.80    32.00
  28  8708.34    32.56 33838.49     0.00  6062.45    32.00
  29  8312.73    32.58 34296.14     0.00  6362.97    31.00
  30  7731.47    32.61 34917.74     0.00  6854.21    31.00
  31  7538.12    32.63 35521.69     0.00  7043.26    31.00
  32  6923.57    32.68 36271.26     0.00  7682.79    35.00
  33  6590.07    32.69 36714.28     0.00  8086.70    30.00
