Seeded RNG: 2514336011
Running IMIS. InitSamples: 50000000, StepSamples: 100000, FinalResamples 100000, MaxIter 3000
Step Var(w_i)  MargLik    Unique Max(w_i)     ESS     Time
 104  9926.79    29.20 35625.72     0.00  6083.93    38.00
 105  9652.33    29.20 35777.73     0.00  6267.26    36.00
 106 10788.33    29.23 35804.17     0.00  5616.66    38.00
 107  9632.18    29.24 36012.64     0.00  6301.14    37.00
 108 10444.46    29.26 35963.72     0.00  5820.71    38.00
 109 10518.21    29.28 36061.68     0.00  5789.41    37.00
 110 10329.11    29.28 36165.47     0.00  5905.07    38.00
 111 10503.89    29.30 36254.59     0.00  5816.34    38.00
 112  9446.73    29.30 36593.15     0.00  6477.75    35.00
 113 10206.67    29.32 36651.56     0.00  6005.29    36.00
 114 10028.70    29.33 36786.45     0.00  6121.82    37.00
 115 10043.78    29.34 36953.11     0.00  6122.58    36.00
 116  9876.41    29.35 37082.51     0.00  6236.45    38.00
 117  9981.00    29.37 37211.29     0.00  6181.13    37.00
 118  9425.79    29.37 37456.17     0.00  6555.78    39.00
 119  9108.59    29.38 37724.50     0.00  6795.04    36.00
 120  8853.88    29.38 37943.43     0.00  7001.79    39.00
 121  8866.34    29.40 37954.90     0.00  7003.23    41.00
 122  8677.75    29.40 38188.46     0.00  7166.93    40.00
 123  8655.17    29.40 38337.43     0.00  7197.18    38.00
 124  8459.89    29.41 38511.77     0.00  7375.11    40.00
 125  9605.69    29.42 38445.00     0.00  6505.88    36.00
 126  8535.74    29.42 38713.27     0.00  7333.01    37.00
 127  8282.06    29.42 38902.23     0.00  7569.67    38.00
 128  8153.15    29.43 39073.11     0.00  7701.60    40.00
 129  8025.64    29.43 39257.04     0.00  7836.41    39.00
 130  8017.79    29.44 39442.43     0.00  7856.55    41.00
 131  7776.01    29.44 39627.38     0.00  8113.66    37.00
 132  7633.10    29.45 39802.36     0.00  8278.64    37.00
 133  7706.20    29.47 39836.33     0.00  8213.10    39.00
 134  7570.41    29.47 40033.35     0.00  8373.60    38.00
 135  7524.92    29.47 40119.55     0.00  8437.51    37.00
 136  7446.73    29.48 40282.70     0.00  8539.52    40.00
 137  8946.88    29.49 40282.38     0.01  7119.00    38.00
 138  7785.33    29.49 40367.14     0.00  8193.84    42.00
 139  7598.69    29.50 40447.07     0.00  8408.24    41.00
 140  7477.20    29.50 40578.74     0.00  8558.21    37.00
 141  7360.67    29.50 40730.68     0.00  8707.26    38.00
 142  7235.62    29.50 40955.48     0.00  8871.55    38.00
 143  7294.09    29.51 40980.31     0.00  8814.14    39.00
 144  7040.18    29.52 41200.52     0.00  9146.19    39.00
 145 15017.91    29.54 41069.02     0.01  4294.59    41.00
 146  6903.72    29.54 41559.17     0.00  9355.92    39.00
 147  6979.23    29.54 41611.39     0.00  9269.03    40.00
 148  8596.24    29.55 41631.72     0.01  7537.30    38.00
 149  6750.19    29.55 41988.64     0.00  9613.11    39.00
 150  6778.56    29.55 42086.08     0.00  9587.64    43.00
 151  7070.83    29.56 42086.75     0.00  9205.54    44.00
 152  6849.22    29.56 42242.22     0.00  9517.94    39.00
 153  6692.74    29.56 42405.26     0.00  9755.38    39.00
 154  6876.35    29.57 42470.19     0.00  9509.48    42.00
 155  6786.38    29.58 42575.57     0.00  9650.26    40.00
 156  7544.07    29.59 42596.54     0.00  8694.42    41.00
 157  8136.25    29.60 42602.08     0.00  8073.98    40.00
 158  6886.28    29.60 42828.06     0.00  9553.84    38.00
 159  6569.40    29.60 42998.04     0.00 10029.83    42.00
 160  6484.91    29.61 43105.55     0.00 10175.90    45.00
 161  6574.61    29.62 43097.16     0.00 10052.30    39.00
 162  8157.32    29.63 43071.06     0.00  8114.42    40.00
 163  6714.31    29.63 43349.64     0.00  9872.97    43.00
 164  6304.49    29.63 43596.03     0.00 10530.50    40.00
 165  9482.24    29.64 43388.15     0.01  7012.37    40.00
 166  6453.73    29.64 43772.01     0.00 10318.01    40.00
 167  6154.44    29.64 43947.56     0.00 10835.94    44.00
 168  6110.69    29.64 44009.47     0.00 10929.87    40.00
 169  6151.07    29.64 44060.42     0.00 10874.39    39.00
 170  6058.77    29.65 44188.40     0.00 11056.53    43.00
 171  5979.30    29.66 44299.59     0.00 11220.17    45.00
 172  6182.66    29.67 44272.38     0.00 10867.35    43.00
 173  6359.37    29.67 44414.68     0.00 10581.15    41.00
 174  6137.44    29.67 44547.79     0.00 10979.99    41.00
 175  5973.12    29.67 44642.12     0.00 11298.74    39.00
 176  6219.11    29.68 44757.36     0.00 10867.97    45.00
 177  5883.69    29.68 44868.48     0.00 11504.43    42.00
 178  5893.89    29.69 45019.76     0.00 11501.48    41.00
 179  5729.61    29.69 45140.84     0.00 11848.65    43.00
 180  5786.79    29.70 45197.49     0.00 11748.88    41.00
 181  5617.82    29.70 45388.69     0.00 12119.98    41.00
 182  5579.78    29.70 45506.25     0.00 12220.51    44.00
 183  5531.95    29.70 45615.98     0.00 12344.23    49.00
 184  5486.82    29.70 45730.23     0.00 12463.95    42.00
 185  5605.73    29.71 45810.65     0.00 12217.46    42.00
 186  5785.74    29.71 45863.25     0.00 11854.69    41.00
 187  5564.41    29.71 46050.94     0.00 12344.11    42.00
 188  6052.91    29.72 46037.97     0.00 11364.55    41.00
 189  5358.33    29.72 46358.19     0.00 12856.08    42.00
 190  5719.19    29.73 46409.13     0.00 12062.53    41.00
 191  5340.57    29.73 46565.65     0.00 12936.27    42.00
 192  5388.66    29.73 46612.84     0.00 12839.40    42.00
 193  5294.60    29.73 46755.14     0.00 13086.33    42.00
 194  5233.73    29.73 46869.25     0.00 13257.61    43.00
 195  5536.19    29.74 46836.53     0.00 12551.49    44.00
 196  5376.88    29.75 46986.53     0.00 12941.91    44.00
 197  5336.32    29.75 47078.15     0.00 13058.98    44.00
 198  5263.49    29.75 47197.63     0.00 13258.65    42.00
 199  5178.57    29.75 47296.69     0.00 13495.34    41.00
 200  5256.21    29.75 47349.38     0.00 13315.04    44.00
 201  5094.18    29.76 47534.08     0.00 13758.10    41.00
 202  5048.14    29.76 47658.61     0.00 13903.37    43.00
 203  5584.25    29.76 47701.45     0.00 12586.72    42.00
 204  4939.90    29.76 47932.26     0.00 14248.42    42.00
 205  4902.27    29.76 48034.76     0.00 14378.16    42.00
 206  4871.72    29.76 48136.22     0.00 14488.84    44.00
 207  5089.61    29.77 48094.03     0.00 13888.32    42.00
 208  4890.62    29.77 48207.54     0.00 14473.74    42.00
 209  4969.74    29.78 48166.54     0.00 14263.47    45.00
 210  4964.30    29.78 48266.50     0.00 14299.23    43.00
 211  5342.04    29.78 48292.79     0.00 13307.02    43.00
 212  4856.39    29.78 48419.62     0.00 14658.07    42.00
 213  4808.39    29.78 48524.02     0.00 14825.17    42.00
 214  4782.04    29.78 48540.62     0.00 14927.73    43.00
 215  4748.13    29.79 48621.65     0.00 15055.39    45.00
 216  4717.63    29.79 48719.26     0.00 15173.90    43.00
 217  4692.24    29.79 48800.57     0.00 15277.28    47.00
 218  4658.34    29.79 48907.74     0.00 15409.89    43.00
 219  4630.97    29.79 48965.67     0.00 15522.56    44.00
 220  5123.82    29.80 48881.14     0.00 14049.27    47.00
 221  4812.22    29.80 49027.75     0.00 14979.58    46.00
 222  4771.71    29.80 49052.73     0.00 15127.68    44.00
